id,language,scoring,mode,predicted_index,answer_index,correct,confidence,entropy,margin,n_choices,domain,verbalized_confidence
eng-eng-0,eng,mc1,mc1,2,2,True,0.3374137282371521,1.3602590560913086,0.0868360698223114,4,elementary_mathematics,
eng-eng-1,eng,mc1,mc1,2,2,True,0.8571234345436096,0.5593909025192261,0.7910292148590088,4,elementary_mathematics,
eng-eng-2,eng,mc1,mc1,3,3,True,0.7518042922019958,0.652337908744812,0.5269212126731873,4,elementary_mathematics,
eng-eng-3,eng,mc1,mc1,1,1,True,0.5607511401176453,1.0806052684783936,0.278787761926651,4,elementary_mathematics,
eng-eng-4,eng,mc1,mc1,1,1,True,0.5596333742141724,1.1419177055358887,0.36166703701019287,4,elementary_mathematics,
eng-eng-5,eng,mc1,mc1,3,2,False,0.3367652893066406,1.3192567825317383,0.0380224883556366,4,elementary_mathematics,
eng-eng-6,eng,mc1,mc1,0,2,False,0.31878384947776794,1.3614321947097778,0.027984023094177246,4,elementary_mathematics,
eng-eng-7,eng,mc1,mc1,1,1,True,0.7643877267837524,0.7906855940818787,0.6502256989479065,4,elementary_mathematics,
eng-eng-8,eng,mc1,mc1,3,3,True,0.766959547996521,0.7808924913406372,0.6446833610534668,4,elementary_mathematics,
eng-eng-9,eng,mc1,mc1,3,3,True,0.6217385530471802,1.0421943664550781,0.4425511956214905,4,elementary_mathematics,
eng-eng-10,eng,mc1,mc1,1,2,False,0.2880954444408417,1.381896734237671,0.039481282234191895,4,elementary_mathematics,
eng-eng-11,eng,mc1,mc1,3,3,True,0.30358782410621643,1.3740322589874268,0.032747119665145874,4,elementary_mathematics,
eng-eng-12,eng,mc1,mc1,0,0,True,0.8586655855178833,0.562036395072937,0.8052840828895569,4,elementary_mathematics,
eng-eng-13,eng,mc1,mc1,3,0,False,0.42229220271110535,1.303977608680725,0.18167732656002045,4,elementary_mathematics,
eng-eng-14,eng,mc1,mc1,3,2,False,0.3014565110206604,1.3615174293518066,0.026198595762252808,4,elementary_mathematics,
eng-eng-15,eng,mc1,mc1,1,1,True,0.38330185413360596,1.2844420671463013,0.05327451229095459,4,elementary_mathematics,
eng-eng-16,eng,mc1,mc1,2,1,False,0.37792062759399414,1.2605431079864502,0.04431745409965515,4,elementary_mathematics,
eng-eng-17,eng,mc1,mc1,1,1,True,0.3760479688644409,1.306918740272522,0.059927523136138916,4,elementary_mathematics,
eng-eng-18,eng,mc1,mc1,3,3,True,0.6968269944190979,0.9119278788566589,0.5375562310218811,4,elementary_mathematics,
eng-eng-19,eng,mc1,mc1,3,0,False,0.32682284712791443,1.3540726900100708,0.029010862112045288,4,elementary_mathematics,
eng-eng-20,eng,mc1,mc1,1,2,False,0.39418452978134155,1.186212420463562,0.09972178936004639,4,elementary_mathematics,
eng-eng-21,eng,mc1,mc1,1,1,True,0.3483406901359558,1.3159985542297363,0.0654822587966919,4,elementary_mathematics,
eng-eng-22,eng,mc1,mc1,0,0,True,0.7205550670623779,0.8935407996177673,0.5998727083206177,4,elementary_mathematics,
eng-eng-23,eng,mc1,mc1,2,2,True,0.8453279137611389,0.5967932343482971,0.7780829668045044,4,elementary_mathematics,
eng-eng-24,eng,mc1,mc1,1,1,True,0.6769870519638062,0.9502935409545898,0.5017231106758118,4,elementary_mathematics,
eng-eng-25,eng,mc1,mc1,3,0,False,0.33546310663223267,1.3435964584350586,0.06783440709114075,4,elementary_mathematics,
eng-eng-26,eng,mc1,mc1,3,3,True,0.5826226472854614,1.1325302124023438,0.41123420000076294,4,elementary_mathematics,
eng-eng-27,eng,mc1,mc1,2,3,False,0.8851471543312073,0.4669515788555145,0.827458381652832,4,elementary_mathematics,
eng-eng-28,eng,mc1,mc1,0,0,True,0.5379958748817444,1.1757856607437134,0.31570112705230713,4,elementary_mathematics,
eng-eng-29,eng,mc1,mc1,0,0,True,0.7672930955886841,0.6473698616027832,0.565214991569519,4,elementary_mathematics,
eng-eng-30,eng,mc1,mc1,3,1,False,0.2625172436237335,1.3835737705230713,0.0013499855995178223,4,elementary_mathematics,
eng-eng-31,eng,mc1,mc1,1,1,True,0.5540574193000793,1.167754888534546,0.3656010031700134,4,elementary_mathematics,
eng-eng-32,eng,mc1,mc1,2,0,False,0.43129798769950867,1.2811585664749146,0.19904479384422302,4,elementary_mathematics,
eng-eng-33,eng,mc1,mc1,2,2,True,0.28279194235801697,1.37919282913208,0.006413966417312622,4,elementary_mathematics,
eng-eng-34,eng,mc1,mc1,3,3,True,0.4861396551132202,1.0721721649169922,0.22075235843658447,4,elementary_mathematics,
eng-eng-35,eng,mc1,mc1,2,0,False,0.3463349938392639,1.3136016130447388,0.004665672779083252,4,elementary_mathematics,
eng-eng-36,eng,mc1,mc1,1,0,False,0.3195400536060333,1.360661506652832,0.03413015604019165,4,elementary_mathematics,
eng-eng-37,eng,mc1,mc1,3,3,True,0.575345516204834,0.8737488389015198,0.20842128992080688,4,elementary_mathematics,
eng-eng-38,eng,mc1,mc1,2,2,True,0.45206302404403687,1.263200283050537,0.18906274437904358,4,elementary_mathematics,
eng-eng-39,eng,mc1,mc1,1,2,False,0.6096640825271606,1.0416532754898071,0.3837795853614807,4,elementary_mathematics,
eng-eng-40,eng,mc1,mc1,1,1,True,0.39012497663497925,1.3259590864181519,0.13764506578445435,4,elementary_mathematics,
eng-eng-41,eng,mc1,mc1,0,3,False,0.38292059302330017,1.2387468814849854,0.0011627376079559326,4,elementary_mathematics,
eng-eng-42,eng,mc1,mc1,0,0,True,0.36863332986831665,1.343446969985962,0.12743321061134338,4,elementary_mathematics,
eng-eng-43,eng,mc1,mc1,2,2,True,0.29890626668930054,1.3661153316497803,0.01498749852180481,4,elementary_mathematics,
eng-eng-44,eng,mc1,mc1,3,3,True,0.43921759724617004,1.3008214235305786,0.24277310073375702,4,elementary_mathematics,
eng-eng-45,eng,mc1,mc1,2,1,False,0.3661791980266571,1.3338520526885986,0.09352841973304749,4,elementary_mathematics,
eng-eng-46,eng,mc1,mc1,2,3,False,0.3047206699848175,1.369260549545288,0.02063530683517456,4,elementary_mathematics,
eng-eng-47,eng,mc1,mc1,3,2,False,0.36913520097732544,1.314887285232544,0.09692904353141785,4,elementary_mathematics,
eng-eng-48,eng,mc1,mc1,3,3,True,0.3504977226257324,1.3571901321411133,0.10707420110702515,4,elementary_mathematics,
eng-eng-49,eng,mc1,mc1,2,3,False,0.3949536085128784,1.1836498975753784,0.049152672290802,4,elementary_mathematics,
eng-eng-50,eng,mc1,mc1,2,0,False,0.5564519762992859,1.0834457874298096,0.2952132225036621,4,elementary_mathematics,
eng-eng-51,eng,mc1,mc1,1,1,True,0.31729626655578613,1.3532650470733643,0.018477976322174072,4,elementary_mathematics,
eng-eng-52,eng,mc1,mc1,2,1,False,0.31637442111968994,1.3528720140457153,0.03065580129623413,4,elementary_mathematics,
eng-eng-53,eng,mc1,mc1,0,0,True,0.6966022849082947,0.8487533926963806,0.4763064682483673,4,elementary_mathematics,
eng-eng-54,eng,mc1,mc1,1,1,True,0.5511007905006409,1.1768767833709717,0.38170066475868225,4,elementary_mathematics,
eng-eng-55,eng,mc1,mc1,0,0,True,0.4794777035713196,1.0957272052764893,0.10181653499603271,4,elementary_mathematics,
eng-eng-56,eng,mc1,mc1,0,3,False,0.41683104634284973,1.3108859062194824,0.19118879735469818,4,elementary_mathematics,
