language,target_coverage,threshold,realized_coverage,base_accuracy,answered_accuracy,frac_errors_removed
amh,0.5,0.35152769088745117,0.4993726474278545,0.30238393977415307,0.3592964824120603,0.5413669064748201
amh,0.6,0.33150866627693176,0.5997490589711418,0.30238393977415307,0.34518828451882844,0.4370503597122302
amh,0.7,0.3137371838092804,0.698870765370138,0.30238393977415307,0.3231597845601436,0.32194244604316546
amh,0.8,0.29769277572631836,0.7992471769134254,0.30238393977415307,0.3139717425431711,0.21402877697841727
amh,0.9,0.2819981873035431,0.8996235884567126,0.30238393977415307,0.3082287308228731,0.1079136690647482
eng,0.5,0.3744449019432068,0.49938195302843014,0.3584672435105068,0.4282178217821782,0.5549132947976878
eng,0.6,0.3460118770599365,0.5995055624227441,0.3584672435105068,0.4144329896907217,0.4527938342967245
eng,0.7,0.3169229328632355,0.6996291718170581,0.3584672435105068,0.4010600706713781,0.3468208092485549
eng,0.8,0.2857479155063629,0.799752781211372,0.3584672435105068,0.37712519319938176,0.22350674373795762
eng,0.9,0.2528039216995239,0.899876390605686,0.3584672435105068,0.36538461538461536,0.10982658959537572
hau,0.5,0.4973978102207184,0.5,0.30198019801980197,0.3341584158415842,0.5230496453900709
hau,0.6,0.46014079451560974,0.599009900990099,0.30198019801980197,0.34297520661157027,0.43617021276595747
hau,0.7,0.4223758280277252,0.6992574257425742,0.30198019801980197,0.336283185840708,0.3351063829787234
hau,0.8,0.38119906187057495,0.7995049504950495,0.30198019801980197,0.3219814241486068,0.22340425531914893
hau,0.9,0.34644755721092224,0.8997524752475248,0.30198019801980197,0.30949105914718017,0.1099290780141844
nso,0.5,0.518494725227356,0.5,0.2599009900990099,0.3069306930693069,0.5317725752508361
nso,0.6,0.46622058749198914,0.599009900990099,0.2599009900990099,0.29958677685950413,0.4331103678929766
nso,0.7,0.4230059087276459,0.6992574257425742,0.2599009900990099,0.2991150442477876,0.3377926421404682
nso,0.8,0.3798987865447998,0.7995049504950495,0.2599009900990099,0.28328173374613,0.225752508361204
nso,0.9,0.34391212463378906,0.8997524752475248,0.2599009900990099,0.2751031636863824,0.11872909698996656
swa,0.5,0.49656954407691956,0.4993804213135068,0.3135068153655514,0.369727047146402,0.5415162454873647
swa,0.6,0.4581025540828705,0.5997521685254027,0.3135068153655514,0.365702479338843,0.44584837545126355
swa,0.7,0.41494956612586975,0.6988847583643123,0.3135068153655514,0.35638297872340424,0.3447653429602888
swa,0.8,0.38163554668426514,0.7992565055762082,0.3135068153655514,0.33798449612403103,0.2292418772563177
swa,0.9,0.34905439615249634,0.8996282527881041,0.3135068153655514,0.32231404958677684,0.11191335740072202
yor,0.5,0.45649197697639465,0.49938195302843014,0.3510506798516687,0.38366336633663367,0.5257142857142857
yor,0.6,0.42093637585639954,0.5995055624227441,0.3510506798516687,0.3958762886597938,0.4419047619047619
yor,0.7,0.38858556747436523,0.6996291718170581,0.3510506798516687,0.38869257950530034,0.34095238095238095
yor,0.8,0.36001232266426086,0.799752781211372,0.3510506798516687,0.3755795981452859,0.23047619047619047
yor,0.9,0.3264952003955841,0.899876390605686,0.3510506798516687,0.37225274725274726,0.1295238095238095
zul,0.5,0.5175933837890625,0.5,0.31876606683804626,0.35732647814910024,0.5283018867924528
zul,0.6,0.47232162952423096,0.5989717223650386,0.31876606683804626,0.34763948497854075,0.42641509433962266
zul,0.7,0.4288369417190552,0.699228791773779,0.31876606683804626,0.3382352941176471,0.32075471698113206
zul,0.8,0.3901965022087097,0.7994858611825193,0.31876606683804626,0.3327974276527331,0.2169811320754717
zul,0.9,0.35144323110580444,0.8997429305912596,0.31876606683804626,0.3242857142857143,0.10754716981132076
